"","死亡人數(發生日期)─按年齡別分"
"","死亡人數 / 年齡別總計 ","死亡人數 / 0-4歲 ","死亡人數 / 5-9歲 ","死亡人數 / 10-14歲 ","死亡人數 / 15-19歲 ","死亡人數 / 20-24歲 ","死亡人數 / 25-29歲 ","死亡人數 / 30-34歲 ","死亡人數 / 35-39歲 ","死亡人數 / 40-44歲 ","死亡人數 / 45-49歲 ","死亡人數 / 50-54歲 ","死亡人數 / 55-59歲 ","死亡人數 / 60-64歲 ","死亡人數 / 65-69歲 ","死亡人數 / 70-74歲 ","死亡人數 / 75-79歲 ","死亡人數 / 80-84歲 ","死亡人數 / 85-89歲 ","死亡人數 / 90-94歲 ","死亡人數 / 95-99歲 ","死亡人數 / 100歲以上 ","男 / 年齡別總計 ","男 / 0-4歲 ","男 / 5-9歲 ","男 / 10-14歲 ","男 / 15-19歲 ","男 / 20-24歲 ","男 / 25-29歲 ","男 / 30-34歲 ","男 / 35-39歲 ","男 / 40-44歲 ","男 / 45-49歲 ","男 / 50-54歲 ","男 / 55-59歲 ","男 / 60-64歲 ","男 / 65-69歲 ","男 / 70-74歲 ","男 / 75-79歲 ","男 / 80-84歲 ","男 / 85-89歲 ","男 / 90-94歲 ","男 / 95-99歲 ","男 / 100歲以上 ","女 / 年齡別總計 ","女 / 0-4歲 ","女 / 5-9歲 ","女 / 10-14歲 ","女 / 15-19歲 ","女 / 20-24歲 ","女 / 25-29歲 ","女 / 30-34歲 ","女 / 35-39歲 ","女 / 40-44歲 ","女 / 45-49歲 ","女 / 50-54歲 ","女 / 55-59歲 ","女 / 60-64歲 ","女 / 65-69歲 ","女 / 70-74歲 ","女 / 75-79歲 ","女 / 80-84歲 ","女 / 85-89歲 ","女 / 90-94歲 ","女 / 95-99歲 ","女 / 100歲以上 "
"81年","    110,413","      2,665","        553","        682","      1,687","      1,889","      2,327","      2,792","      3,304","      3,698","      3,599","      5,209","      6,971","     10,768","     13,201","     14,688","     14,838","     11,857","      6,571","      2,485","        629","          -","     67,849","      1,543","        315","        420","      1,240","      1,380","      1,711","      2,021","      2,371","      2,614","      2,463","      3,514","      4,667","      7,447","      8,843","      9,129","      8,354","      5,845","      2,854","        911","        207","          -","     42,564","      1,122","        238","        262","        447","        509","        616","        771","        933","      1,084","      1,136","      1,695","      2,304","      3,321","      4,358","      5,559","      6,484","      6,012","      3,717","      1,574","        422","          -"
"82年","    111,289","      2,522","        519","        718","      1,823","      1,942","      2,362","      2,848","      3,418","      4,056","      3,730","      5,229","      6,990","     10,408","     13,471","     14,618","     14,604","     12,192","      6,652","      2,505","        682","          -","     68,797","      1,400","        310","        454","      1,373","      1,403","      1,722","      2,047","      2,456","      2,892","      2,575","      3,532","      4,561","      7,111","      9,106","      9,200","      8,511","      6,123","      2,868","        917","        236","          -","     42,492","      1,122","        209","        264","        450","        539","        640","        801","        962","      1,164","      1,155","      1,697","      2,429","      3,297","      4,365","      5,418","      6,093","      6,069","      3,784","      1,588","        446","          -"
"83年","    113,896","      2,504","        476","        640","      1,863","      1,844","      2,200","      2,873","      3,545","      4,343","      3,915","      5,259","      7,123","     10,076","     13,931","     15,070","     14,673","     12,942","      7,249","      2,669","        701","          -","     71,002","      1,454","        293","        395","      1,402","      1,310","      1,570","      2,124","      2,564","      3,129","      2,750","      3,554","      4,710","      6,836","      9,606","      9,566","      8,510","      6,829","      3,130","      1,046","        224","          -","     42,894","      1,050","        183","        245","        461","        534","        630","        749","        981","      1,214","      1,165","      1,705","      2,413","      3,240","      4,325","      5,504","      6,163","      6,113","      4,119","      1,623","        477","          -"
"84年","    119,693","      2,962","        451","        652","      1,766","      1,941","      2,173","      2,808","      3,644","      4,429","      4,293","      5,156","      7,106","     10,190","     14,375","     16,334","     15,598","     14,081","      7,911","      2,996","        827","          -","     74,337","      1,675","        281","        404","      1,292","      1,419","      1,597","      2,005","      2,670","      3,129","      3,028","      3,551","      4,660","      6,826","      9,767","     10,480","      9,197","      7,459","      3,505","      1,138","        254","          -","     45,356","      1,287","        170","        248","        474","        522","        576","        803","        974","      1,300","      1,265","      1,605","      2,446","      3,364","      4,608","      5,854","      6,401","      6,622","      4,406","      1,858","        573","          -"
"85年","    121,933","      3,031","        431","        549","      1,739","      1,715","      2,067","      2,874","      3,622","      4,619","      4,768","      5,071","      7,408","      9,941","     14,198","     16,642","     16,208","     14,423","      8,493","      3,276","        858","          -","     75,769","      1,650","        250","        327","      1,269","      1,260","      1,492","      2,127","      2,596","      3,333","      3,344","      3,468","      4,926","      6,534","      9,617","     10,820","      9,630","      7,737","      3,811","      1,294","        284","          -","     46,164","      1,381","        181","        222","        470","        455","        575","        747","      1,026","      1,286","      1,424","      1,603","      2,482","      3,407","      4,581","      5,822","      6,578","      6,686","      4,682","      1,982","        574","          -"
"86年","    121,014","      2,941","        389","        466","      1,603","      1,516","      2,022","      2,741","      3,735","      4,693","      5,076","      4,998","      7,063","      9,424","     14,083","     16,554","     16,358","     14,149","      8,922","      3,393","        888","          -","     75,218","      1,608","        221","        261","      1,150","      1,101","      1,486","      2,038","      2,743","      3,418","      3,568","      3,507","      4,709","      6,145","      9,397","     10,943","      9,700","      7,599","      4,034","      1,294","        296","          -","     45,796","      1,333","        168","        205","        453","        415","        536","        703","        992","      1,275","      1,508","      1,491","      2,354","      3,279","      4,686","      5,611","      6,658","      6,550","      4,888","      2,099","        592","          -"
"87年","    123,489","      2,753","        385","        468","      1,482","      1,618","      1,815","      2,591","      3,787","      4,793","      5,355","      4,900","      7,144","      9,457","     13,904","     16,961","     17,036","     14,492","      9,699","      3,872","        831","        146","     76,837","      1,578","        215","        286","      1,074","      1,184","      1,343","      1,917","      2,762","      3,517","      3,813","      3,374","      4,780","      6,025","      9,099","     11,130","     10,458","      7,930","      4,522","      1,517","        274","         39","     46,652","      1,175","        170","        182","        408","        434","        472","        674","      1,025","      1,276","      1,542","      1,526","      2,364","      3,432","      4,805","      5,831","      6,578","      6,562","      5,177","      2,355","        557","        107"
"88年","    126,654","      2,635","        482","        524","      1,406","      1,563","      1,790","      2,559","      3,731","      4,820","      5,772","      5,210","      7,098","      9,586","     13,414","     17,836","     17,800","     14,746","     10,589","      4,023","        929","        141","     78,293","      1,507","        259","        293","        995","      1,101","      1,287","      1,857","      2,715","      3,496","      4,074","      3,603","      4,691","      6,102","      8,735","     11,564","     10,941","      8,151","      4,998","      1,562","        318","         44","     48,361","      1,128","        223","        231","        411","        462","        503","        702","      1,016","      1,324","      1,698","      1,607","      2,407","      3,484","      4,679","      6,272","      6,859","      6,595","      5,591","      2,461","        611","         97"
"89年","    126,016","      2,541","        332","        360","      1,260","      1,576","      1,646","      2,426","      3,524","      4,848","      6,010","      5,489","      6,811","      9,235","     12,792","     17,705","     18,351","     14,886","     10,747","      4,280","      1,050","        147","     78,244","      1,415","        192","        205","        904","      1,136","      1,184","      1,775","      2,594","      3,522","      4,297","      3,821","      4,532","      5,977","      8,216","     11,619","     11,303","      8,271","      5,212","      1,680","        345","         44","     47,772","      1,126","        140","        155","        356","        440","        462","        651","        930","      1,326","      1,713","      1,668","      2,279","      3,258","      4,576","      6,086","      7,048","      6,615","      5,535","      2,600","        705","        103"
"90年","    127,892","      2,250","        325","        337","      1,092","      1,457","      1,528","      2,283","      3,524","      4,729","      5,978","      6,170","      6,637","      9,383","     12,645","     17,957","     18,845","     15,872","     10,962","      4,579","      1,165","        174","     79,481","      1,293","        194","        206","        748","      1,034","      1,124","      1,673","      2,593","      3,446","      4,269","      4,310","      4,395","      6,046","      8,078","     11,711","     11,806","      8,944","      5,343","      1,824","        404","         40","     48,411","        957","        131","        131","        344","        423","        404","        610","        931","      1,283","      1,709","      1,860","      2,242","      3,337","      4,567","      6,246","      7,039","      6,928","      5,619","      2,755","        761","        134"
